Characters,Corr_ans,answer,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Condition_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.009820799983572215,0.026595500006806105,5.009589600027539,,,,,,,,,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
spov,0,left,0,0,0,left,1,0.9975190999684855,None,0,0,0,86,5.07472279999638,,,,,5.061658099992201,5.07472279999638,5.07472279999638,6.097566300013568,left,1,0.9975190999684855,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
hal,0,left,1,1,0,left,1,0.5244816000340506,None,0,1,1,88,6.107786700013094,,,,,6.101608199998736,6.107786700013094,6.107786700013094,6.642981400014833,left,1,0.5244816000340506,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
apple,1,right,2,2,0,right,1,0.5184357999823987,None,0,2,2,10,6.659126000013202,,,,,6.646943100029603,6.659126000013202,6.659126000013202,7.193042200000491,right,1,0.5184357999823987,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
lun,0,left,3,3,0,left,1,0.609596700000111,None,0,3,3,73,7.209271500003524,,,,,7.196529600012582,7.209271500003524,7.209271500003524,7.825699299981352,left,1,0.609596700000111,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
ruve,0,left,4,4,0,left,1,0.571331100014504,None,0,4,4,67,7.842271299974527,,,,,7.829050200001802,7.842271299974527,7.842271299974527,8.425996500009205,left,1,0.571331100014504,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
psw,0,left,5,5,0,left,1,0.5024953999673016,None,0,5,5,57,8.442270600004122,,,,,8.429848700005095,8.442270600004122,8.442270600004122,8.95929279999109,left,1,0.5024953999673016,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
rose,1,right,6,6,0,right,1,0.5633527999743819,None,0,6,6,48,8.975486000010278,,,,,8.962965000013355,8.975486000010278,8.975486000010278,9.542873400030658,right,1,0.5633527999743819,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
phone,1,right,7,7,0,right,1,0.5457981000072323,None,0,7,7,20,9.558996299980208,,,,,9.54665540001588,9.558996299980208,9.558996299980208,10.109234499977902,right,1,0.5457981000072323,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
day,1,right,8,8,0,right,1,0.4337539999978617,None,0,8,8,9,10.125615400029346,,,,,10.11255020002136,10.125615400029346,10.125615400029346,10.575665600015782,right,1,0.4337539999978617,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
lamp,1,right,9,9,0,right,1,1.0586874000146054,None,0,9,9,41,10.59227560000727,,,,,10.57895739999367,10.59227560000727,10.59227560000727,11.659118700015824,right,1,1.0586874000146054,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
mip,0,left,10,10,0,left,1,0.7407348999986425,None,0,10,10,84,11.675472999981139,,,,,11.662826500018127,11.675472999981139,11.675472999981139,12.427233399997931,left,1,0.7407348999986425,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
flower,1,right,11,11,0,right,1,0.7278611000510864,None,0,11,11,34,12.443444899981841,,,,,12.43109229998663,12.443444899981841,12.443444899981841,13.176096600014716,right,1,0.7278611000510864,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
door,1,right,12,12,0,right,1,0.8547443000134081,None,0,12,12,49,13.191694999986794,,,,,13.17937259998871,13.191694999986794,13.191694999986794,14.058595400012564,right,1,0.8547443000134081,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
bipt,0,left,13,13,0,right,0,0.6221725000068545,None,0,13,13,90,14.075037800008431,,,,,14.062086599995382,14.075037800008431,14.075037800008431,14.708744000003207,right,0,0.6221725000068545,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
pencil,1,right,14,14,0,right,1,0.8127837999491021,None,0,14,14,19,14.724866700009443,,,,,14.712742800009437,14.724866700009443,14.724866700009443,15.542221300012898,right,1,0.8127837999491021,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
baf,0,left,15,15,0,left,1,0.6647020999807864,None,0,15,15,60,15.557953500014264,,,,,15.54546539997682,15.557953500014264,15.557953500014264,16.225450599973556,left,1,0.6647020999807864,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
tree,1,right,16,16,0,right,1,0.5462164000491612,None,0,16,16,30,16.24137190001784,,,,,16.228854899993166,16.24137190001784,16.24137190001784,16.791810500028078,right,1,0.5462164000491612,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
tea,1,right,17,17,0,right,1,0.7302997999940999,None,0,17,17,2,16.80773290002253,,,,,16.795151000027545,16.80773290002253,16.80773290002253,17.541832400020212,right,1,0.7302997999940999,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
night,1,right,18,18,0,right,1,0.5116714000469074,None,0,18,18,8,17.557640200015157,,,,,17.548132200026885,17.557640200015157,17.557640200015157,18.074406399973668,right,1,0.5116714000469074,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
king,1,right,19,19,0,right,1,0.5575434999773279,None,0,19,19,43,18.09133780002594,,,,,18.07807310001226,18.09133780002594,18.09133780002594,18.65835139999399,right,1,0.5575434999773279,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
wug,0,left,20,20,0,left,1,0.6408416999620385,None,0,20,20,61,18.674530100019183,,,,,18.66162590001477,18.674530100019183,18.674530100019183,19.324976100004278,left,1,0.6408416999620385,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
bird,1,right,21,21,0,right,1,0.5099133999901824,None,0,21,21,44,19.340719899977557,,,,,19.328532000014093,19.340719899977557,19.340719899977557,19.85799400001997,right,1,0.5099133999901824,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
pat,1,right,22,22,0,right,1,1.0769265000126325,None,0,22,22,4,19.874267300008796,,,,,19.861299399985,19.874267300008796,19.874267300008796,20.95794220000971,right,1,1.0769265000126325,None,,,,,1,001,2025-11-18_11h33.53.405,Lexical Decision Task,,2025.1.1,60.00272410949121,2025-11-18 11h34.04.250242 +0530,
